folio,edad_y,beca,ed_formal,edocony,tot_resi,p0a11,ingtot
20060110400,5,6,5, ,4,3,14419.42
20060110400,3, ,5, ,4,3,14419.42
20060110410,32, ,5,5,3,1,17679.45
20060110410,15, ,5,6,3,1,17679.45
20060110410,5,6,5, ,3,1,17679.45
20060110420,51, ,4,4,6,0,39330.95
20060110420,25, ,4,6,6,0,39330.95
20060110420,19, ,4,6,6,0,39330.95
20060110420,16, ,4,6,6,0,39330.95
20060110420,13,1,4,6,6,0,39330.95
20060110420,12,1,4,6,6,0,39330.95
20060110440,97, ,1,4,1,0,9549.79
20060110450,32, ,3,1,5,3,30304.73
20060110450,29, ,3,1,5,3,30304.73
20060110450,6,6,3, ,5,3,30304.73
20060110450,2, ,3, ,5,3,30304.73
20060110450,2, ,3, ,5,3,30304.73
20060120010,59, ,1,6,9,3,60405.45
20060120010,41, ,1,6,9,3,60405.45
20060120010,24,6,1,6,9,3,60405.45
20060120010,23, ,1,6,9,3,60405.45
20060120010,21, ,1,2,9,3,60405.45
20060120010,15, ,1,6,9,3,60405.45
20060120010,9,4,1, ,9,3,60405.45
20060120010,3, ,1, ,9,3,60405.45
20060120010,1, ,1, ,9,3,60405.45
20060120020,56, ,6,5,5,0,103977.43
20060120020,51, ,6,5,5,0,103977.43
20060120020,24, ,6,6,5,0,103977.43
20060120020,20,6,6,6,5,0,103977.43
20060120020,19,6,6,6,5,0,103977.43
20060120040,51, ,4,1,4,0,23265.23
20060120040,55, ,4,1,4,0,23265.23
20060120040,19, ,4,6,4,0,23265.23
20060120040,18, ,4,6,4,0,23265.23
20060120050,69, ,4,5,4,1,94377.89
20060120050,66, ,4,5,4,1,94377.89
20060120050,27, ,4,6,4,1,94377.89
20060120050,9,6,4, ,4,1,94377.89
20060120060,59, ,3,5,2,0,30346.94
20060120060,59, ,3,5,2,0,30346.94
20060120070,50, ,1,1,4,1,15274.25
20060120070,48, ,1,1,4,1,15274.25
20060120070,15, ,1,6,4,1,15274.25
20060120070,9,6,1, ,4,1,15274.25
20060120080,38, ,5,5,6,4,16330.89
20060120080,39, ,5,5,6,4,16330.89
20060120080,11,6,5, ,6,4,16330.89
20060120080,9,6,5, ,6,4,16330.89
20060120080,5,6,5, ,6,4,16330.89
20060120080,3, ,5, ,6,4,16330.89
20060120090,31, ,8,6,1,0,26011.09
20060120100,33, ,6,5,5,3,28645.04
20060120100,32, ,6,5,5,3,28645.04
20060120100,10,6,6, ,5,3,28645.04
20060120100,8,6,6, ,5,3,28645.04
20060120100,6,6,6, ,5,3,28645.04
20060120110,68, ,4,5,3,0,75931.01
20060120110,63, ,4,5,3,0,75931.01
20060120110,26, ,4,6,3,0,75931.01
20060120120,44, ,10,5,5,2,25694.21
20060120120,43, ,10,4,5,2,25694.21
20060120120,16,6,10,6,5,2,25694.21
20060120120,11,6,10, ,5,2,25694.21
20060120120,6,6,10, ,5,2,25694.21
20060120140,43, ,10,5,4,0,71587.77
20060120140,42, ,10,5,4,0,71587.77
20060120140,13,6,10,6,4,0,71587.77
20060120140,22,6,10,6,4,0,71587.77
20060120150,61, ,5,4,3,0,47306.99
20060120150,28, ,5,6,3,0,47306.99
20060120150,18, ,5,6,3,0,47306.99
20060120160,34,5,11,6,1,0,75988.07
20060120170,45, ,9,4,5,1,331400.69
20060120170,15,6,9,6,5,1,331400.69
20060120170,12,6,9,6,5,1,331400.69
20060120170,8,6,9, ,5,1,331400.69
20060120170,21,2,9,6,5,1,331400.69
20060120180,51, ,6,5,6,1,39440.85
20060120180,53, ,6,5,6,1,39440.85
20060120180,26, ,6,6,6,1,39440.85
20060120180,20, ,6,5,6,1,39440.85
20060120180,25, ,6,5,6,1,39440.85
20060120180,0, ,6, ,6,1,39440.85
20060120190,54, ,11,5,5,0,93487.99
20060120190,53, ,11,5,5,0,93487.99
20060120190,23,2,11,6,5,0,93487.99
20060120190,19,2,11,6,5,0,93487.99
20060120190,15,2,11,6,5,0,93487.99
20060120200,57, ,3,5,4,0,61937.9
20060120200,56, ,3,5,4,0,61937.9
20060120200,25,6,3,6,4,0,61937.9
20060120200,20,6,3,6,4,0,61937.9
20060120210,44, ,10,3,2,0,21202.07
20060120210,14,6,10,6,2,0,21202.07
20060120220,47, ,3,5,5,0,14888.22
20060120220,45, ,3,5,5,0,14888.22
20060120220,25, ,3,6,5,0,14888.22
20060120220,20,6,3,6,5,0,14888.22
20060120220,16,3,3,6,5,0,14888.22
20060120230,38, ,6,5,6,2,26171.44
20060120230,40, ,6,5,6,2,26171.44
20060120230,13,6,6,6,6,2,26171.44
20060120230,13,6,6,6,6,2,26171.44
20060120230,6,6,6, ,6,2,26171.44
20060120230,1, ,6, ,6,2,26171.44
20060120240,40, ,10,5,4,1,57298.68
20060120240,43, ,10,5,4,1,57298.68
20060120240,71, ,10,3,4,1,57298.68
20060120240,7,6,10, ,4,1,57298.68
20060120250,39, ,10,5,5,2,111728.27
20060120250,36, ,10,5,5,2,111728.27
20060120250,12,4,10,6,5,2,111728.27
20060120250,6,6,10, ,5,2,111728.27
20060120250,3, ,10, ,5,2,111728.27
20060120260,44, ,3,5,7,4,15902.36
20060120260,33, ,3,5,7,4,15902.36
20060120260,15,1,3,6,7,4,15902.36
20060120260,10,1,3, ,7,4,15902.36
20060120260,9,1,3, ,7,4,15902.36
20060120260,9,1,3, ,7,4,15902.36
20060120260,2, ,3, ,7,4,15902.36
20060120280,38, ,6,1,6,3,27124.62
20060120280,30,6,6,1,6,3,27124.62
20060120280,13,6,6,6,6,3,27124.62
20060120280,7,6,6, ,6,3,27124.62
20060120280,3, ,6, ,6,3,27124.62
20060120280,1, ,6, ,6,3,27124.62
20060120290,31, ,3,5,4,2,13879.92
20060120290,27, ,3,5,4,2,13879.92
20060120290,11,1,3, ,4,2,13879.92
20060120290,9,1,3, ,4,2,13879.92
20060120300,42, ,4,5,12,4,42340.44
20060120300,40, ,4,5,12,4,42340.44
20060120300,20, ,4,5,12,4,42340.44
20060120300,19,4,4,6,12,4,42340.44
20060120300,20, ,4,5,12,4,42340.44
20060120300,16, ,4,1,12,4,42340.44
20060120300,15, ,4,6,12,4,42340.44
20060120300,18, ,4,1,12,4,42340.44
20060120300,4, ,4, ,12,4,42340.44
20060120300,2, ,4, ,12,4,42340.44
20060120300,0, ,4, ,12,4,42340.44
20060120300,0, ,4, ,12,4,42340.44
20060120310,46, ,4,1,2,0,3077.54
20060120310,44, ,4,1,2,0,3077.54
20060120320,34, ,3,5,5,3,21124.45
20060120320,29, ,3,5,5,3,21124.45
20060120320,10,6,3, ,5,3,21124.45
20060120320,6,6,3, ,5,3,21124.45
20060120320,3, ,3, ,5,3,21124.45
20060120330,26, ,4,1,5,3,27650.0
20060120330,22, ,4,1,5,3,27650.0
20060120330,2, ,4, ,5,3,27650.0
20060120330,0, ,4, ,5,3,27650.0
20060120330,0, ,4, ,5,3,27650.0
20060120340,23, ,3,1,3,1,17744.41
20060120340,22, ,3,1,3,1,17744.41
20060120340,1, ,3, ,3,1,17744.41
20060120350,35, ,3,5,6,3,16479.09
20060120350,38, ,3,5,6,3,16479.09
20060120350,13,1,3,6,6,3,16479.09
20060120350,11,1,3, ,6,3,16479.09
20060120350,10,1,3, ,6,3,16479.09
20060120350,7,6,3, ,6,3,16479.09
20060120370,45, ,1,5,6,1,46389.42
20060120370,46, ,1,5,6,1,46389.42
20060120370,24, ,1,6,6,1,46389.42
20060120370,22,6,1,6,6,1,46389.42
20060120370,20, ,1,6,6,1,46389.42
20060120370,3, ,1, ,6,1,46389.42
20060120380,40, ,6,5,7,3,65125.39
20060120380,40, ,6,5,7,3,65125.39
20060120380,16,6,6,6,7,3,65125.39
20060120380,14,6,6,6,7,3,65125.39
20060120380,10,6,6, ,7,3,65125.39
20060120380,7,6,6, ,7,3,65125.39
20060120380,2, ,6, ,7,3,65125.39
20060120390,60, ,4,3,4,1,12344.54
20060120390,25, ,4,6,4,1,12344.54
20060120390,18, ,4,6,4,1,12344.54
20060120390,7,6,4, ,4,1,12344.54
20060120391,20, ,5,1,2,0,12520.86
20060120391,17, ,5,1,2,0,12520.86
20060120400,43, ,3,2,5,1,36527.15
20060120400,22, ,3,6,5,1,36527.15
20060120400,20, ,3,1,5,1,36527.15
20060120400,13,6,3,6,5,1,36527.15
20060120400,1, ,3, ,5,1,36527.15
20060120430,54, ,4,5,6,0,69784.76
20060120430,51, ,4,5,6,0,69784.76
20060120430,24, ,4,6,6,0,69784.76
20060120430,20, ,4,6,6,0,69784.76
20060120430,17,6,4,6,6,0,69784.76
20060120430,14,6,4,6,6,0,69784.76
20060120440,27, ,4,1,4,2,19302.14
20060120440,21, ,4,1,4,2,19302.14
20060120440,2, ,4, ,4,2,19302.14
20060120440,0, ,4, ,4,2,19302.14
20060120450,31, ,3,5,5,3,34046.99
20060120450,29, ,3,5,5,3,34046.99
20060120450,8,4,3, ,5,3,34046.99
20060120450,6,6,3, ,5,3,34046.99
20060120450,4, ,3, ,5,3,34046.99
20060120480,38, ,5,5,6,2,36058.33
20060120480,38, ,5,5,6,2,36058.33
20060120480,19, ,5,6,6,2,36058.33
20060120480,15,6,5,6,6,2,36058.33
20060120480,7,4,5, ,6,2,36058.33
20060120480,4, ,5, ,6,2,36058.33
20060120490,70, ,1,5,2,0,16899.08
20060120490,65, ,1,5,2,0,16899.08
20060120510,61, ,3,5,4,1,15198.68
20060120510,57, ,3,5,4,1,15198.68
20060120510,34, ,3,3,4,1,15198.68
20060120510,3, ,3, ,4,1,15198.68
20060130010,36, ,10,5,2,0,488168.48
20060130010,32, ,10,5,2,0,488168.48
20060130020,54, ,9,6,1,0,83680.75
20060130030,47, ,4,5,4,1,69767.79
20060130030,45, ,4,5,4,1,69767.79
20060130030,22,6,4,6,4,1,69767.79
20060130030,11,6,4, ,4,1,69767.79
20060130040,30, ,6,6,1,0,44396.68
20060130050,49, ,9,3,2,0,63637.86
20060130050,23,6,9,6,2,0,63637.86
20060130060,42, ,6,3,5,1,50981.07
20060130060,24, ,6,6,5,1,50981.07
20060130060,17,6,6,6,5,1,50981.07
20060130060,17,6,6,6,5,1,50981.07
20060130060,1, ,6, ,5,1,50981.07
20060130070,58, ,3,5,6,0,75766.48
20060130070,48, ,3,5,6,0,75766.48
20060130070,25, ,3,6,6,0,75766.48
20060130070,23,6,3,6,6,0,75766.48
20060130070,22,6,3,6,6,0,75766.48
20060130070,15,6,3,6,6,0,75766.48
20060130080,47, ,9,5,4,0,68413.98
20060130080,40, ,9,5,4,0,68413.98
20060130080,17,6,9,6,4,0,68413.98
20060130080,67, ,9,4,4,0,68413.98
20060130090,70, ,6,4,4,1,207680.28
20060130090,36, ,6,6,4,1,207680.28
20060130090,29, ,6,6,4,1,207680.28
20060130090,7,6,6, ,4,1,207680.28
20060130100,55, ,10,5,3,1,62609.37
20060130100,52, ,10,5,3,1,62609.37
20060130100,2, ,10, ,3,1,62609.37
20060130110,60, ,4,1,6,2,54803.33
20060130110,57, ,4,1,6,2,54803.33
20060130110,38, ,4,3,6,2,54803.33
20060130110,26, ,4,6,6,2,54803.33
20060130110,7,6,4, ,6,2,54803.33
20060130110,4, ,4, ,6,2,54803.33
20060130111,77, ,4,5,3,0,8359.02
20060130111,74, ,4,5,3,0,8359.02
20060130111,18, ,4,5,3,0,8359.02
20060130120,53, ,6,1,2,0,20791.16
20060130120,27,6,6,1,2,0,20791.16
20060130130,34, ,3,1,3,0,32566.94
20060130130,31, ,3,1,3,0,32566.94
20060130130,12,1,3,6,3,0,32566.94
20060130150,44, ,4,5,4,1,14376.98
20060130150,23, ,4,5,4,1,14376.98
20060130150,24, ,4,5,4,1,14376.98
20060130150,0, ,4, ,4,1,14376.98
20060130170,57, ,4,5,6,1,24196.95
20060130170,58, ,4,5,6,1,24196.95
20060130170,14, ,4,6,6,1,24196.95
20060130170,14, ,4,6,6,1,24196.95
20060130170,13,6,4,6,6,1,24196.95
20060130170,10,6,4, ,6,1,24196.95
20060130180,49, ,3,5,4,0,41462.34
20060130180,44, ,3,5,4,0,41462.34
20060130180,17,6,3,6,4,0,41462.34
20060130180,12,6,3,6,4,0,41462.34
20060130190,17, ,5,6,1,0,19256.65
20060130200,36, ,5,1,2,0,21767.05
20060130200,35, ,5,1,2,0,21767.05
20060130220,87, ,1,4,1,0,22684.58
20060130230,75, ,4,5,6,0,43341.95
20060130230,76, ,4,5,6,0,43341.95
20060130230,38, ,4,6,6,0,43341.95
20060130230,30, ,4,6,6,0,43341.95
20060130230,42, ,4,6,6,0,43341.95
20060130230,36, ,4,6,6,0,43341.95
20060130240,43, ,3,5,5,3,37358.98
20060130240,34, ,3,5,5,3,37358.98
20060130240,6,6,3, ,5,3,37358.98
20060130240,4, ,3, ,5,3,37358.98
20060130240,0, ,3, ,5,3,37358.98
20060130250,40, ,6,5,4,1,27332.34
20060130250,34, ,6,5,4,1,27332.34
20060130250,15,6,6,6,4,1,27332.34
20060130250,5,6,6, ,4,1,27332.34
20060130280,41,6,3,5,6,3,25989.02
20060130280,32, ,3,5,6,3,25989.02
20060130280,12,6,3,6,6,3,25989.02
20060130280,10,1,3, ,6,3,25989.02
20060130280,9,6,3, ,6,3,25989.02
20060130280,6,6,3, ,6,3,25989.02
20060130290,23, ,3,1,2,0,8892.35
20060130290,17, ,3,1,2,0,8892.35
20060130300,23, ,3,1,2,0,7279.38
20060130300,19, ,3,1,2,0,7279.38
20060130320,79, ,4,5,3,0,10341.13
20060130320,81, ,4,5,3,0,10341.13
20060130320,50, ,4,4,3,0,10341.13
20060130330,29, ,4,5,5,2,42426.63
