folio,edad_y,beca,ed_formal,edocony,tot_resi,p0a11,ingtot
20060140080,15,6,7,6,5,1,23211.91
20060140080,9,6,7, ,5,1,23211.91
20060140090,9,6,3, ,6,1,67070.72
20060140110,12,6,4,6,7,0,51700.69
20060140120,26,6,4,6,4,0,49977.5
20060140130,12,6,5,6,5,1,48398.3
20060140130,12,6,5,6,5,1,48398.3
20060140130,7,6,5, ,5,1,48398.3
20060140140,20,6,5,6,3,0,28159.14
20060140140,17,6,5,6,3,0,28159.14
20060140180,12,6,4,6,7,4,9845.11
20060140180,9,6,4, ,7,4,9845.11
20060140180,6,6,4, ,7,4,9845.11
20060140190,6,6,3, ,5,1,25507.01
20060140200,5,6,3, ,2,1,8015.19
20060140210,14,6,5,6,5,2,29291.29
20060140210,11,6,5, ,5,2,29291.29
20060140220,13,6,1,6,11,2,12872.74
20060140220,8,6,1, ,11,2,12872.74
20060140220,10,6,1, ,11,2,12872.74
20060140240,12,6,3,6,5,2,16877.31
20060140240,11,6,3, ,5,2,16877.31
20060140240,6,6,3, ,5,2,16877.31
20060140280,14,6,3,6,5,1,26314.17
20060140280,12,6,3,6,5,1,26314.17
20060140280,10,6,3, ,5,1,26314.17
20060140310,25,6,6,6,2,0,34399.89
20060140330,33,6,3,5,6,2,24731.29
20060140330,11,6,3, ,6,2,24731.29
20060140340,15,6,10,6,6,2,99260.9
20060140340,12,6,10,6,6,2,99260.9
20060140340,7,6,10, ,6,2,99260.9
20060140340,5,6,10, ,6,2,99260.9
20060140370,12,6,1,6,6,0,100266.91
20060140380,18,6,6,6,7,2,76536.19
20060140380,15,6,6,6,7,2,76536.19
20060140380,14,6,6,6,7,2,76536.19
20060140390,5,6,4, ,4,2,17099.09
20060140400,14,6,5,6,7,3,19493.57
20060140400,12,6,5,6,7,3,19493.57
20060140400,11,6,5, ,7,3,19493.57
20060140400,7,6,5, ,7,3,19493.57
20060140410,6,6,4, ,10,4,32191.86
20060140430,17,6,5,6,6,2,18752.53
20060140430,12,6,5,6,6,2,18752.53
20060140430,10,6,5, ,6,2,18752.53
20060140450,6,6,3, ,4,2,18034.76
20060140470,6,6,3, ,6,3,31213.05
20060140480,6,6,4, ,5,3,10401.12
20060140510,8,6,3, ,6,1,29326.17
20060150030,9,6,4, ,4,1,54550.11
20060150060,11,6,6, ,5,3,38964.82
20060150060,7,6,6, ,5,3,38964.82
20060150070,27,6,4,6,3,0,34293.12
20060150080,5,6,5, ,4,2,25012.85
20060150100,20,6,7,6,5,0,94357.0
20060150100,18,6,7,6,5,0,94357.0
20060150100,13,6,7,6,5,0,94357.0
20060150130,14,6,3,6,3,0,15637.42
20060150150,5,6,10, ,4,2,36936.28
20060150170,16,6,8,6,5,1,27830.14
20060150180,20,6,5,6,5,0,72464.68
20060150190,25,6,11,6,1,0,18883.45
20060150220,12,6,3,6,7,0,48532.75
20060150230,15,6,4,6,7,2,41823.46
20060150230,8,6,4, ,7,2,41823.46
20060150230,7,6,4, ,7,2,41823.46
20060150240,11,6,3, ,12,5,54175.05
20060150240,5,6,3, ,12,5,54175.05
20060150280,13,6,4,6,7,1,27284.06
20060150290,13,6,3,6,9,2,18766.96
20060150340,7,6,4, ,4,2,18872.23
20060150350,12,6,1,6,8,4,18111.14
20060150350,6,6,1, ,8,4,18111.14
20060150350,8,6,1, ,8,4,18111.14
20060150360,21,6,10,6,2,0,39475.81
20060150380,16,6,6,6,5,1,86173.85
20060150380,11,6,6, ,5,1,86173.85
